ec5_uuid,created_at,uploaded_at,title,1_what_is_the_date,2_what_is_the_plot_n,3_what_is_the_subplo,4_what_is_the_subsub,5_what_is_the_type_o,6_what_is_biomass_in
8ae9c840-1251-11eb-b96c-ebbefa327f60,2020-10-19T21:24:59.716Z,2020-10-19T21:28:58.000Z,24 se ne,19/09/2020,24,se,ne,herbs,5.42
669788b0-1251-11eb-b96c-ebbefa327f60,2020-10-19T21:23:58.779Z,2020-10-19T21:24:59.000Z,18 nw ne,19/09/2020,18,nw,ne,dead,0.63
f1564aa0-1250-11eb-b96c-ebbefa327f60,2020-10-19T21:20:42.058Z,2020-10-19T21:22:40.000Z,27 sw ne,19/09/2020,27,sw,ne,dead,1.27
0ff34690-124f-11eb-b96c-ebbefa327f60,2020-10-19T21:07:14.425Z,2020-10-19T21:20:40.000Z,17 nw se,19/09/2020,17,nw,se,dead,2.04
cf9f1330-124e-11eb-b96c-ebbefa327f60,2020-10-19T21:05:26.499Z,2020-10-19T21:07:13.000Z,2 ne ne,19/09/2020,2,ne,ne,herbs,12.01
4561d2c0-124e-11eb-b96c-ebbefa327f60,2020-10-19T21:01:34.572Z,2020-10-19T21:05:08.000Z,3 nw nw,19/09/2020,3,nw,nw,herbs,3.04
d7d2a4a0-124d-11eb-b96c-ebbefa327f60,2020-10-19T20:58:30.762Z,2020-10-19T21:01:34.000Z,4 nw sw,19/09/2020,4,nw,sw,herbs,24.36
7b3e3bf0-124d-11eb-b96c-ebbefa327f60,2020-10-19T20:55:55.439Z,2020-10-19T20:58:30.000Z,4 nw sw,19/09/2020,4,nw,sw,dead,22.07
094e4bc0-124d-11eb-b96c-ebbefa327f60,2020-10-19T20:52:44.284Z,2020-10-19T20:55:55.000Z,37 sw se,19/09/2020,37,sw,se,herbs,3.45
a11eb210-124c-11eb-b96c-ebbefa327f60,2020-10-19T20:49:49.489Z,2020-10-19T20:52:35.000Z,27 sw ne,19/09/2020,27,sw,ne,herbs,4.33
51d8a8a0-124c-11eb-b96c-ebbefa327f60,2020-10-19T20:47:36.490Z,2020-10-19T20:49:49.000Z,21 se se,19/09/2020,21,se,se,dead,0.84
fcc506b0-124b-11eb-b96c-ebbefa327f60,2020-10-19T20:45:13.755Z,2020-10-19T20:47:36.000Z,29 ne nw,19/09/2020,29,ne,nw,dead,3.96
8cdaaa80-124b-11eb-b96c-ebbefa327f60,2020-10-19T20:42:05.992Z,2020-10-19T20:45:13.000Z,23 nw nw,19/09/2020,23,nw,nw,herbs,6.24
3666dc50-124b-11eb-b96c-ebbefa327f60,2020-10-19T20:39:40.950Z,2020-10-19T20:42:05.000Z,29 ne nw,19/09/2020,29,ne,nw,herbs,18.82
dd35c2e0-124a-11eb-b96c-ebbefa327f60,2020-10-19T20:37:11.310Z,2020-10-19T20:39:35.000Z,39 ne ne,19/09/2020,39,ne,ne,dead,6.82
74138bd0-124a-11eb-b96c-ebbefa327f60,2020-10-19T20:34:14.925Z,2020-10-19T20:37:10.000Z,37 sw nw,19/09/2020,37,sw,nw,herbs,6.48
edf3c2e0-1249-11eb-b96c-ebbefa327f60,2020-10-19T20:30:29.902Z,2020-10-19T20:34:05.000Z,37 sw nw,19/09/2020,37,sw,nw,dead,6.58
9e7c9750-1249-11eb-b96c-ebbefa327f60,2020-10-19T20:28:16.582Z,2020-10-19T20:30:29.000Z,4 nw ne,19/09/2020,4,nw,ne,herbs,75.3
47541f20-1249-11eb-b96c-ebbefa327f60,2020-10-19T20:25:50.355Z,2020-10-19T20:28:16.000Z,14 ne sw,19/09/2020,14,ne,sw,dead,9.11
fe746bc0-1248-11eb-b96c-ebbefa327f60,2020-10-19T20:23:48.093Z,2020-10-19T20:25:50.000Z,11 nw sw,19/09/2020,11,nw,sw,dead,4.33
7fcf2800-1248-11eb-b96c-ebbefa327f60,2020-10-19T20:20:15.616Z,2020-10-19T20:23:46.000Z,14 ne nw,19/09/2020,14,ne,nw,dead,3.62
f5a8a3e0-1247-11eb-b96c-ebbefa327f60,2020-10-19T20:16:23.838Z,2020-10-19T20:20:14.000Z,17 nw se,19/09/2020,17,nw,se,herbs,10.91
485c2b30-1247-11eb-b96c-ebbefa327f60,2020-10-19T20:11:33.091Z,2020-10-19T20:16:12.000Z,36 sw ne,19/09/2020,36,sw,ne,herbs,78.11
bfe9bfb0-1246-11eb-b96c-ebbefa327f60,2020-10-19T20:07:44.171Z,2020-10-19T20:11:31.000Z,14 ne sw,19/09/2020,14,ne,sw,herbs,53.5
502ae050-1246-11eb-b96c-ebbefa327f60,2020-10-19T20:04:36.693Z,2020-10-19T20:07:42.000Z,11 nw sw,19/09/2020,11,nw,sw,herbs,41.17
20043750-1246-11eb-b96c-ebbefa327f60,2020-10-19T20:03:15.909Z,2020-10-19T20:04:36.000Z,9 sw se,19/09/2020,9,sw,se,herbs,45.9
d1f72310-1245-11eb-b96c-ebbefa327f60,2020-10-19T20:01:04.961Z,2020-10-19T20:03:15.000Z,9 sw se,19/09/2020,9,sw,se,herbs,45.06
49ed59e0-1244-11eb-b96c-ebbefa327f60,2020-10-19T19:50:07.230Z,2020-10-19T19:57:32.000Z,8 nw nw,19/09/2020,8,nw,nw,herbs,69.61
9d2aaaa0-1243-11eb-b96c-ebbefa327f60,2020-10-19T19:45:17.386Z,2020-10-19T19:50:05.000Z,8 nw se,19/09/2020,8,nw,se,herbs,15.43
2cb5e8c0-1243-11eb-b96c-ebbefa327f60,2020-10-19T19:42:08.716Z,2020-10-19T19:45:17.000Z,35 nw se,19/09/2020,35,nw,se,dead,5.71
bfbc9200-1242-11eb-b96c-ebbefa327f60,2020-10-19T19:39:05.888Z,2020-10-19T19:42:04.000Z,18 nw ne,19/09/2020,18,nw,ne,herbs,4.3
604a36b0-1242-11eb-b96c-ebbefa327f60,2020-10-19T19:36:25.755Z,2020-10-19T19:39:05.000Z,21 se se,19/09/2020,21,se,se,herbs,5.69
1da339b0-1242-11eb-b96c-ebbefa327f60,2020-10-19T19:34:33.931Z,2020-10-19T19:36:25.000Z,5 nw se,19/09/2020,5,nw,se,dead,0.45
e5626d20-0ff1-11eb-88ec-a5099ce05d4b,2020-10-16T20:55:17.491Z,2020-10-16T20:57:02.000Z,5 nw nw,19/09/2020,5,nw,nw,dead,0.75
a0080560-0ff0-11eb-88ec-a5099ce05d4b,2020-10-16T20:46:11.638Z,2020-10-16T20:52:48.000Z,14 ne nw,19/09/2020,14,ne,nw,herbs,55.78
5154ed20-0ff0-11eb-88ec-a5099ce05d4b,2020-10-16T20:43:59.603Z,2020-10-16T20:46:10.000Z,5 nw nw,19/09/2020,5,nw,nw,herbs,19.21
e9628380-0fef-11eb-88ec-a5099ce05d4b,2020-10-16T20:41:05.208Z,2020-10-16T20:42:41.000Z,33 ne nw,19/09/2020,33,ne,nw,herbs,9.52
6afada70-0fee-11eb-88ec-a5099ce05d4b,2020-10-16T20:30:23.639Z,2020-10-16T20:37:39.000Z,5 nw se,19/09/2020,5,nw,se,herbs,25.36
58bebb60-0fee-11eb-88ec-a5099ce05d4b,2020-10-16T20:29:53.046Z,2020-10-16T20:30:23.000Z,39 ne sw,19/09/2020,39,ne,sw,grasses,0.1406
a69090d0-0fed-11eb-88ec-a5099ce05d4b,2020-10-16T20:24:54.109Z,2020-10-16T20:27:53.000Z,2 ne sw,19/09/2020,2,ne,sw,dead,1.5164
52596c30-0fed-11eb-88ec-a5099ce05d4b,2020-10-16T20:22:32.819Z,2020-10-16T20:24:53.000Z,24 se sw,19/09/2020,24,se,sw,herbs,0.4484
3a424720-0fed-11eb-88ec-a5099ce05d4b,2020-10-16T20:21:52.402Z,2020-10-16T20:22:32.000Z,21 se sw,19/09/2020,21,se,sw,dead,0.9583
a0f102a0-0fec-11eb-88ec-a5099ce05d4b,2020-10-16T20:17:35.178Z,2020-10-16T20:20:09.000Z,34 ne ne,19/09/2020,34,ne,ne,woody,0.1715
e3c96550-0feb-11eb-88ec-a5099ce05d4b,2020-10-16T20:12:17.829Z,2020-10-16T20:17:33.000Z,15 nw nw,19/09/2020,15,nw,nw,dead,2.4864
65bc1bd0-0feb-11eb-88ec-a5099ce05d4b,2020-10-16T20:08:46.349Z,2020-10-16T20:12:16.000Z,34 ne se,19/09/2020,34,ne,se,herbs,1.7072
53db8a40-0feb-11eb-88ec-a5099ce05d4b,2020-10-16T20:08:16.356Z,2020-10-16T20:08:45.000Z,34 ne se,19/09/2020,34,ne,se,dead,0.8488
74d6f320-0fea-11eb-88ec-a5099ce05d4b,2020-10-16T20:02:02.194Z,2020-10-16T20:05:45.000Z,23 nw se,19/09/2020,23,nw,se,dead,2.0397
e136be70-0fe9-11eb-88ec-a5099ce05d4b,2020-10-16T19:57:54.519Z,2020-10-16T20:01:41.000Z,42 se sw,19/09/2020,42,se,sw,herbs,0.7389
84b56890-0fe9-11eb-88ec-a5099ce05d4b,2020-10-16T19:55:19.321Z,2020-10-16T19:57:53.000Z,33 ne nw,19/09/2020,33,ne,nw,dead,2.5867
c3151460-0fe8-11eb-88ec-a5099ce05d4b,2020-10-16T19:49:54.470Z,2020-10-16T19:52:42.000Z,15 nw nw,19/09/2020,15,nw,nw,herbs,0.9437
b3dac3a0-0fe8-11eb-88ec-a5099ce05d4b,2020-10-16T19:49:28.922Z,2020-10-16T19:49:53.000Z,17 nw sw,19/09/2020,17,nw,sw,dead,4.1009
e9eda620-0fe7-11eb-88ec-a5099ce05d4b,2020-10-16T19:43:50.146Z,2020-10-16T19:47:32.000Z,17 nw sw,19/09/2020,17,nw,sw,herbs,0.7379
63cd8f10-0fe7-11eb-88ec-a5099ce05d4b,2020-10-16T19:40:05.121Z,2020-10-16T19:43:49.000Z,2 ne sw,19/09/2020,2,ne,sw,herbs,3.4356
4b45cde0-0fe7-11eb-88ec-a5099ce05d4b,2020-10-16T19:39:23.966Z,2020-10-16T19:40:04.000Z,34 ne ne,19/09/2020,34,ne,ne,dead,0.183
57a99b80-0fe6-11eb-88ec-a5099ce05d4b,2020-10-16T19:32:35.257Z,2020-10-16T19:37:25.000Z,17 nw sw,19/09/2020,17,nw,sw,grasses,0.0132
d57e1730-0fe5-11eb-88ec-a5099ce05d4b,2020-10-16T19:28:56.867Z,2020-10-16T19:32:34.000Z,30 nw nw,19/09/2020,30,nw,nw,herbs,1.3938
706cd480-0fe5-11eb-88ec-a5099ce05d4b,2020-10-16T19:26:07.304Z,2020-10-16T19:28:54.000Z,28 sw nw,19/09/2020,28,sw,nw,woody,0.1548
e64a9620-0fe4-11eb-88ec-a5099ce05d4b,2020-10-16T19:22:15.554Z,2020-10-16T19:24:56.000Z,42 se sw,19/09/2020,42,se,sw,grasses,0.1412
514f8c60-0fe4-11eb-88ec-a5099ce05d4b,2020-10-16T19:18:05.606Z,2020-10-16T19:22:14.000Z,37 sw se,19/09/2020,37,sw,se,dead,2.1977
ab351e30-0fe3-11eb-88ec-a5099ce05d4b,2020-10-16T19:13:26.931Z,2020-10-16T19:16:40.000Z,39 ne sw,19/09/2020,39,ne,sw,dead,1.5189
36e39750-0fe3-11eb-88ec-a5099ce05d4b,2020-10-16T19:10:11.781Z,2020-10-16T19:13:26.000Z,39 ne sw,19/09/2020,39,ne,sw,herbs,1.2674
ee83c250-0fe2-11eb-88ec-a5099ce05d4b,2020-10-16T19:08:10.357Z,2020-10-16T19:10:11.000Z,4 nw ne,19/09/2020,4,nw,ne,dead,1.2826
ff6a2750-0fe0-11eb-88ec-a5099ce05d4b,2020-10-16T18:54:19.717Z,2020-10-16T19:03:58.000Z,12 sw sw,19/09/2020,12,sw,sw,herbs,216.29
710eac10-0fe0-11eb-88ec-a5099ce05d4b,2020-10-16T18:50:20.881Z,2020-10-16T18:54:19.000Z,11 nw sw,19/09/2020,11,nw,sw,herbs,87.38
53096e30-0fe0-11eb-88ec-a5099ce05d4b,2020-10-16T18:49:30.515Z,2020-10-16T18:50:16.000Z,24 se sw,19/09/2020,24,se,sw,dead,8.2
aba65360-0fdf-11eb-88ec-a5099ce05d4b,2020-10-16T18:44:49.687Z,2020-10-16T18:46:35.000Z,28 sw se,19/09/2020,28,sw,se,dead,0.86
17425980-0fdf-11eb-88ec-a5099ce05d4b,2020-10-16T18:40:40.728Z,2020-10-16T18:43:02.000Z,28 sw se,19/09/2020,28,sw,se,herbs,13.08
4a918820-0fde-11eb-88ec-a5099ce05d4b,2020-10-16T18:34:57.314Z,2020-10-16T18:38:57.000Z,15 nw se,19/09/2020,15,nw,se,herbs,16.29
cf7718d0-0fdd-11eb-88ec-a5099ce05d4b,2020-10-16T18:31:30.781Z,2020-10-16T18:34:56.000Z,32 se nw,19/09/2020,32,se,nw,herbs,69.65
66234a70-0fdd-11eb-88ec-a5099ce05d4b,2020-10-16T18:28:34.071Z,2020-10-16T18:31:29.000Z,24 se ne,19/09/2020,24,se,ne,dead,2.54
f18180b0-0fdc-11eb-88ec-a5099ce05d4b,2020-10-16T18:25:18.395Z,2020-10-16T18:28:32.000Z,28 sw nw,19/09/2020,28,sw,nw,dead,18.23
ce866330-0f0c-11eb-b7fe-2db3780ceec4,2020-10-15T17:35:24.387Z,2020-10-15T17:37:12.000Z,11 nw sw,19/09/2020,11,nw,sw,dead,5.66
717f1470-0f0c-11eb-b7fe-2db3780ceec4,2020-10-15T17:32:48.311Z,2020-10-15T17:34:39.000Z,32 se nw,19/09/2020,32,se,nw,dead,9.02
ba76b210-0f0b-11eb-b7fe-2db3780ceec4,2020-10-15T17:27:41.233Z,2020-10-15T17:30:24.000Z,27 sw sw,19/09/2020,27,sw,sw,herbs,65.81
37eae550-0f0b-11eb-b7fe-2db3780ceec4,2020-10-15T17:24:02.213Z,2020-10-15T17:26:00.000Z,9 sw nw,19/09/2020,9,sw,nw,herbs,29.64
b0a89560-0f0a-11eb-b7fe-2db3780ceec4,2020-10-15T17:20:15.286Z,2020-10-15T17:22:28.000Z,29 ne se,19/09/2020,29,ne,se,herbs,23.4
643e5bb0-0f0a-11eb-b7fe-2db3780ceec4,2020-10-15T17:18:07.083Z,2020-10-15T17:20:15.000Z,36 sw sw,19/09/2020,36,sw,sw,dead,4.03
bb9ccd70-0f09-11eb-b7fe-2db3780ceec4,2020-10-15T17:13:24.168Z,2020-10-15T17:16:20.000Z,36 sw sw,19/09/2020,36,sw,sw,herbs,18.15
67c44390-0f09-11eb-b7fe-2db3780ceec4,2020-10-15T17:11:03.497Z,2020-10-15T17:13:24.000Z,42 se sw,19/09/2020,42,se,sw,dead,3.92
9ceb1860-0f08-11eb-b7fe-2db3780ceec4,2020-10-15T17:05:23.174Z,2020-10-15T17:09:34.000Z,16 sw ne,19/09/2020,16,sw,ne,herbs,9.98
31249c50-0f08-11eb-b7fe-2db3780ceec4,2020-10-15T17:02:22.357Z,2020-10-15T17:05:23.000Z,30 nw se,19/09/2020,30,nw,se,herbs,13.1
b1bd6820-0f07-11eb-b7fe-2db3780ceec4,2020-10-15T16:58:48.610Z,2020-10-15T17:02:22.000Z,9 sw nw,19/09/2020,9,sw,nw,dead,1.38
5769a0a0-0f07-11eb-b7fe-2db3780ceec4,2020-10-15T16:56:17.066Z,2020-10-15T16:58:48.000Z,20 sw se,19/09/2020,20,sw,se,herbs,23.19
dff555f0-0f06-11eb-b7fe-2db3780ceec4,2020-10-15T16:52:56.655Z,2020-10-15T16:55:10.000Z,3 nw se,19/09/2020,3,nw,se,herbs,15.09
98c12520-0f05-11eb-b7fe-2db3780ceec4,2020-10-15T16:43:47.699Z,2020-10-15T16:51:30.000Z,3 nw se,19/09/2020,3,nw,se,dead,6.97
f73b3330-0f04-11eb-b7fe-2db3780ceec4,2020-10-15T16:39:16.707Z,2020-10-15T16:43:47.000Z,23 nw se,19/09/2020,23,nw,se,herbs,17.25
2a838400-0f04-11eb-b7fe-2db3780ceec4,2020-10-15T16:33:33.248Z,2020-10-15T16:39:17.000Z,21 se sw,19/09/2020,21,se,sw,herbs,12.84
b9b69000-0f03-11eb-b7fe-2db3780ceec4,2020-10-15T16:30:24.000Z,2020-10-15T16:33:25.000Z,32 se se,19/09/2020,32,se,se,herbs,55.23
50ae97b0-0f03-11eb-b7fe-2db3780ceec4,2020-10-15T16:27:27.787Z,2020-10-15T16:29:47.000Z,33 ne se,19/09/2020,33,ne,se,herbs,14.13
aec17f80-0f02-11eb-b7fe-2db3780ceec4,2020-10-15T16:22:56.120Z,2020-10-15T16:27:27.000Z,20 sw nw,19/09/2020,20,sw,nw,dead,1.5914
2eabb140-0f01-11eb-b7fe-2db3780ceec4,2020-10-15T16:12:11.732Z,2020-10-15T16:18:29.000Z,13 nw nw,19/09/2020,13,nw,nw,dead,2.5005
5afa1e90-0f00-11eb-b7fe-2db3780ceec4,2020-10-15T16:06:16.569Z,2020-10-15T16:11:29.000Z,32 se se,19/09/2020,32,se,se,dead,1.5083
e5514510-0eff-11eb-b7fe-2db3780ceec4,2020-10-15T16:02:59.169Z,2020-10-15T16:06:16.000Z,20 sw nw,19/09/2020,20,sw,nw,herbs,6.85
72a70590-0eff-11eb-b7fe-2db3780ceec4,2020-10-15T15:59:46.793Z,2020-10-15T16:02:56.000Z,35 nw nw,19/09/2020,35,nw,nw,herbs,2.18
03621120-0eff-11eb-b7fe-2db3780ceec4,2020-10-15T15:56:40.114Z,2020-10-15T15:59:47.000Z,13 nw nw,19/09/2020,13,nw,nw,herbs,9.6
6637b120-0efe-11eb-b7fe-2db3780ceec4,2020-10-15T15:52:16.435Z,2020-10-15T15:55:48.000Z,33 ne se,19/09/2020,33,ne,se,dead,1.4303
a57735a0-0efd-11eb-b7fe-2db3780ceec4,2020-10-15T15:46:53.050Z,2020-10-15T15:52:16.000Z,16 sw sw,19/09/2020,16,sw,sw,dead,1.0805
17431880-0efd-11eb-b7fe-2db3780ceec4,2020-10-15T15:42:54.472Z,2020-10-15T15:46:52.000Z,35 nw nw,19/09/2020,35,nw,nw,dead,7.54
9afe32f0-0efc-11eb-b7fe-2db3780ceec4,2020-10-15T15:39:25.984Z,2020-10-15T15:42:29.000Z,12 sw se,19/09/2020,12,sw,se,dead,12.24
c71c4170-0efb-11eb-b7fe-2db3780ceec4,2020-10-15T15:33:30.503Z,2020-10-15T15:38:41.000Z,13 nw ne,19/09/2020,13,nw,ne,dead,0.1521
4c460710-0efb-11eb-b7fe-2db3780ceec4,2020-10-15T15:30:04.417Z,2020-10-15T15:33:30.000Z,16 sw sw,19/09/2020,16,sw,sw,herbs,46.69
e8dc0bc0-0efa-11eb-b7fe-2db3780ceec4,2020-10-15T15:27:17.628Z,2020-10-15T15:29:54.000Z,18 nw sw,19/09/2020,18,nw,sw,herbs,7.01
18568bb0-0efa-11eb-b7fe-2db3780ceec4,2020-10-15T15:21:27.788Z,2020-10-15T15:26:07.000Z,18 nw sw,19/09/2020,18,nw,sw,dead,3.86
a2c77bc0-0ef9-11eb-b7fe-2db3780ceec4,2020-10-15T15:18:10.556Z,2020-10-15T15:21:27.000Z,12 sw se,19/09/2020,12,sw,se,herbs,18.48
cc62aff0-0ef8-11eb-b7fe-2db3780ceec4,2020-10-15T15:12:10.863Z,2020-10-15T15:14:56.000Z,13 nw ne,19/09/2020,13,nw,ne,herbs,28.5
05675b30-0ef8-11eb-b7fe-2db3780ceec4,2020-10-15T15:06:37.027Z,2020-10-15T15:10:33.000Z,30 nw nw,19/09/2020,30,nw,nw,dead,0.3935
32cbcc60-0ef7-11eb-b7fe-2db3780ceec4,2020-10-15T15:00:43.687Z,2020-10-15T15:06:35.000Z,42 se ne,19/09/2020,42,se,ne,dead,1.5
107dc140-0ef7-11eb-b7fe-2db3780ceec4,2020-10-15T14:59:46.132Z,2020-10-15T15:00:42.000Z,42 se ne,19/09/2020,42,se,ne,herbs,14.95