Day,Month,Year,DOY,Plot,Subplot,subsubplot,pft_bag,pft,weight (g)
15,9,2024,,21,SE,SW,dead,D,0.06
15,9,2024,,3,NW,NW,grasses,G,0.13
15,9,2024,,8,NW,SE,herbs,H,0.19
15,9,2024,,42,SE,NE,grasses,G,0.2
15,9,2024,,4,NW,SW,dead,D,0.25
15,9,2024,,42,SE,SW,grasses,G,0.33
15,9,2024,,8,NW,NW,herbs,H,0.41
15,9,2024,,20,SW,SE,herbs,H,0.41
15,9,2024,,3,NW,SE,grasses,G,0.45
15,9,2024,,34,NE,NE,herbs,H,0.45
15,9,2024,,15,NW,SE,grasses,G,0.49
15,9,2024,,21,SE,NE,dead,D,0.86
15,9,2024,,42,SE,SW,herbs,H,0.86
15,9,2024,,20,SW,NW,dead,D,0.87
15,9,2024,,35,NW,SE,grasses,G,1
15,9,2024,,33,NE,NW,dead,D,1.04
15,9,2024,,14,NE,NW,herbs,H,1.11
15,9,2024,,21,SE,SW,herbs,H,1.19
15,9,2024,,28,SW,NW,herbs,H,1.21
15,9,2024,,37,SW,NW,grasses,G,1.27
15,9,2024,,8,NW,NW,dead,D,1.55
15,9,2024,,37,SW,SE,dead,D,1.62
15,9,2024,,30,NW,SE,dead,D,1.7
15,9,2024,,3,NW,NW,dead,D,1.72
15,9,2024,,33,NE,SW,dead,D,1.77
15,9,2024,,37,SW,SE,herbs,H,1.77
15,9,2024,,12,SW,SW,herbs,H,1.78
15,9,2024,,8,NW,SE,dead,D,1.85
15,9,2024,,13,NW,NW,herbs,H,1.93
15,9,2024,,26,SW,SE,dead,D,2.03
15,9,2024,,37,SW,NW,herbs,H,2.11
15,9,2024,,35,NW,SE,herbs,H,2.29
15,9,2024,,4,NW,NE,dead,D,2.77
15,9,2024,,27,SW,SW,herbs,H,3.21
15,9,2024,,37,SW,NW,dead,D,3.32
15,9,2024,,15,NW,SE,dead,D,3.38
15,9,2024,,30,NW,NW,dead,D,3.67
15,9,2024,,30,NW,NW,dead,D,3.67
15,9,2024,,11,NE,SW,herbs,H,3.84
15,9,2024,,24,SE,NE,dead,D,3.99
15,9,2024,,15,NW,NW,herbs,H,4.14
15,9,2024,,3,NW,SE,dead,D,4.22
15,9,2024,,20,SW,NW,dead,D,4.26
15,9,2024,,42,SE,NE,dead,D,4.27
15,9,2024,,36,SW,SW,dead,D,4.35
15,9,2024,,35,NW,NW,herbs,H,4.39
15,9,2024,,27,SW,SW,dead,D,4.47
15,9,2024,,16,SW,SW,herbs,H,4.63
15,9,2024,,5,NW,NW,dead,D,4.89
15,9,2024,,42,SE,NE,herbs,H,4.92
15,9,2024,,13,NW,NW,dead,D,5.14
15,9,2024,,16,SW,NE,dead,D,5.15
15,9,2024,,27,SW,NE,dead,D,5.27
15,9,2024,,28,SW,NW,dead,D,5.31
15,9,2024,,12,SW,SE,herbs,H,5.36
15,9,2024,,18,NW,NE,herbs,H,5.42
15,9,2024,,34,NE,SE,dead,D,5.48
15,9,2024,,34,NE,SE,herbs,H,5.5
15,9,2024,,17,NW,SW,dead,D,5.63
15,9,2024,,15,NW,SE,herbs,H,5.75
15,9,2024,,36,SW,NE,dead,D,5.8
15,9,2024,,24,SE,WE,herbs,H,5.93
15,9,2024,,28,SW,SE,dead,D,6
15,9,2024,,23,NW,SE,herbs,H,6.18
15,9,2024,,42,SE,SW,dead,D,6.21
15,9,2024,,32,SE,NW,dead,D,6.51
15,9,2024,,34,NE,NE,dead,D,6.54
15,9,2024,,29,NE,NW,herbs,H,6.56
15,9,2024,,11,NE,SW,dead,D,6.75
15,9,2024,,33,NE,NW,herbs,H,7.05
15,9,2024,,30,NW,NW,herbs,H,7.06
15,9,2024,,30,NW,SE,herbs,H,7.1
15,9,2024,,27,SW,NE,herbs,H,7.11
15,9,2024,,15,NW,NW,dead,D,7.7
15,9,2024,,18,NW,SW,dead,D,7.98
15,9,2024,,18,NE,SE,dead,D,8.2
15,9,2024,,24,SW,SE,herbs,H,8.26
15,9,2024,,18,NW,NE,dead,D,8.94
15,9,2024,,11,NE,NE,dead,D,9.09
15,9,2024,,12,SW,SE,dead,D,9.31
15,9,2024,,2,NE,NE,herbs,H,9.53
15,9,2024,,18,NW,SW,herbs,H,9.64
15,9,2024,,24,SW,SE,dead,D,9.88
15,9,2024,,2,NE,SW,herbs,H,9.88
15,9,2024,,29,NE,SE,herbs,H,9.91
15,9,2024,,12,SW,SW,dead,D,10.25
15,9,2024,,11,NE,NE,herbs,H,10.33
15,9,2024,,2,NE,NE,dead,D,10.58
15,9,2024,,28,SW,SE,herbs,H,10.86
15,9,2024,,35,NW,SE,dead,D,10.93
15,9,2024,,2,NE,SW,dead,D,11.01
15,9,2024,,17,NW,SE,herbs,H,11.72
15,9,2024,,39,NE,SW,herbs,H,11.86
15,9,2024,,32,SE,NW,herbs,H,12.18
15,9,2024,,23,NW,NW,herbs,H,12.18
15,9,2024,,4,NW,NE,herbs,H,13.79
15,9,2024,,36,SW,NE,herbs,H,13.98
15,9,2024,,35,NW,NW,dead,D,14.06
15,9,2024,,5,NW,SE,Litter,D,14.75
15,9,2024,,9,SW,NW,dead,D,14.9
15,9,2024,,23,NW,SE,dead,D,15.15
15,9,2024,,9,SW,NW,herbs,H,15.74
15,9,2024,,39,NE,SW,dead,D,16.33
15,9,2024,,3,NW,SE,herbs,H,16.72
15,9,2024,,39,NE,NE,herbs,H,16.8
15,9,2024,,29,NE,SE,dead,D,17.83
15,9,2024,,17,NW,SE,dead,D,17.94
15,9,2024,,14,NE,SE,herbs,H,19.78
15,9,2024,,13,NW,NE,dead,D,19.98
15,9,2024,,17,NW,SE,herbs,H,22.03
15,9,2024,,32,SE,SE,herbs,H,22.92
15,9,2024,,9,SW,SE,herbs,H,23
15,9,2024,,29,NE,NW,dead,D,23.53
15,9,2024,,32,SE,SE,dead,D,23.67
15,9,2024,,36,SW,SW,herbs,H,24.68
15,9,2024,,14,NE,NW,dead,D,26.45
15,9,2024,,23,NW,NW,dead,D,27.32
15,9,2024,,5,NW,NW,herbs,H,31.5
15,9,2024,,9,SW,SE,dead,D,33.01
15,9,2024,,16,SW,NE,herbs,H,33.4
15,9,2024,,39,NE,NE,dead,D,35.6