Life form,Family,Common Name,Latin binomial,Code
Shrub/tree,Agavaceae,Soapweed Yucca,Yucca glauca,YuGl
Forb,Apiaceae,unknown celery/sandparsley,Ammoselinum popei,AmPo
Forb,Apiaceae,Unk daucus,Daucus pusillus,DaPu
Forb,Asclepiadaceae,Zizotes milkweed,Asclepias oenotheroides,AsOe
Forb,Asteraceae,Dwarf desertpeony,Acourtia nana,AcNa
Forb,Asteraceae,Western ragweed,Ambrosia psilostachya,AmPS
Forb,Asteraceae,Annual Broomweed,Amphiachyris dracunculoides,AmDr
Forb,Asteraceae,Plains dozedaisy,Aphanostephus ramossisimus,ApRa
Shrub/tree,Asteraceae,Sand Sagebrush,Artemisia filifolia,ArFi
Forb,Asteraceae,Baby white aster,Aster leucelene,AsLe
Forb,Asteraceae,Chocolate daisy,Berlandiera lyrata,BeLy
Forb,Asteraceae,Star Thistle/Basket Flower,Centaurea americana,CeAm
Forb,Asteraceae,Maltese star-thistle,Centaurea melitensis,CeMe
Forb,Asteraceae,Unkown Aster,Chaetopappa ericoides,ChEr
Forb ,Asteraceae,Yellowspine thistle,Cirsium ochrocentrum,CiOc
Forb,Asteraceae,Wavyleaf thistle,Cirsium undulatum,CiUn
Forb,Asteraceae,Bull thistle,Cirsium vulgare,CiVU
Forb,Asteraceae,Conyza,Conyza canadensis,CoCa
Forb,Asteraceae,Horsetail fleabane,Conyza coulteri,CoCo
Forb,Asteraceae,Coreopsis,Coreopsis tinctoria,CoTi
Forb,Asteraceae,Englemann daisy,Engelmannia pinnatifida,EnPi
Forb,Asteraceae,Daisy fleabane,Erigeron modestus OR APHANOSTEPHUS RAMOSSISIMUS?,ErMo
Forb,Asteraceae,Curlycup gumweed,Grindelia squarrosa,GrSq
Forb,Asteraceae,Broom snakeweed,Gutierrezia sarothrae,GuSa
Forb,Asteraceae,Bitterweed,Helenium amarum var. badium,HeAm
Forb,Asteraceae,Common sunflower,Helianthus annuus,HeAn
Forb,Asteraceae,Blueweed sunflower,Helianthus ciliaris,HeCi
Forb,Asteraceae,Camphorweed,Heterotheca horrida,HeHo
Forb,Asteraceae,Yellow woolywhite,Hymenopappus tenuifolius,HyTe
Forb,Asteraceae,Bitterweed,Hymenoxys odorata,HyOd
Forb,Asteraceae,Prairie kuhnia,Kuhnia eupatorioides,KuEu
Forb,Asteraceae,Prickly lettuce,Lactuca serriola,LaSe
Forb,Asteraceae,Coulter's horseweed,Laennecia coulteri,LaCo
Forb,Asteraceae,Skeleton plant,Lygodesmia texana,LyTe
Forb,Asteraceae,Sideranthus,Machaeranthera pinnatifida,MaPi
Forb,Asteraceae,Tahoka daisy,Machaeranthera tanacetifolia,MaTa
Forb,Asteraceae,Woodhouse's bahia,Picradeniopsis woodhousei,PiWo
Forb,Asteraceae,False gumweed,Prionopsis ciliata = Grindelia papposa,PrCi
Forb,Asteraceae,Prairie coneflower/Mexican Top Hat,Ratibida columnifera,RaCo
Forb,Asteraceae,Short-ray prairie coneflower,Ratibida tagetes,RaTa
Forb,Asteraceae,Threadleaf groundsel,Senecio longilobus/Senecio flaccidus,SeLo
Forb,Asteraceae,Unkown Sonchus ,Sonchus asper,SoAs
Forb,Asteraceae,Wirelettuce,Stephanomeria pauciflora,StPa
Forb,Asteraceae,Common dandelion,Taraxacum officinale,TaOf
Forb,Asteraceae,Stiff greenthread,Thelesperma filifolium,ThFi
Forb,Asteraceae,Plains ironweed,Vernonia marginata,VeMa
Forb,Asteraceae,Drummand sleepdaisy,Xanthisma texanum,XaTe
Forb,Asteraceae,Rough Cocklebur,Xanthium strumarium,XaSt
Forb,Asteraceae,Plains zinnia,Zinnia grandiflora,ZiGr
Forb,Boraginaceae,Popcorn Flower*,Cryptantha minima,CrMi
Forb,Boraginaceae,Narrowleaf gromwell,Lithospermum incisum,LiIn
Forb,Brassicaceae,Tansy mustard,Descurainia pinnata,DePi
Forb,Brassicaceae,Prairie pepperweed,Lepidium densiflorum,LeDe
Shrub/tree,Cactaceae,Devil's pincushion/Horsecrippler,Echinocactus texensis,EcTe
Shrub/tree,Cactaceae,Pencil cholla,Opuntia leptocaulis,OpLe
Shrub/tree,Cactaceae,New Mexico pricklypear,Opuntia neomexicanus/Opuntia phaecantha???,OpNe
Shrub/tree,Cactaceae,Thistle cholla,Cylindropuntia davisii,DyDa
Forb,Caparaceae,Polanisia dodecandra ssp trachysperma,Clammyweed,PoDo
Forb,Chenopodiaceae,Lambsquarter,Chenopodium album,ChAl
Forb,Chenopodiaceae,Slimleaf goosefoot,Chenopodium leptophyllum,ChLe
Forb,Chenopodiaceae,mealy goosefoot- Chin. #1,Chinopodium incanum,ChIn
Forb,Chenopodiaceae,Kochia,Kochia scoparia,KoSc
Forb,Chenopodiaceae,Russian thistle,Salsola tragus,SaTr
Forb,Chenopodiaceae,Poison suckleya,Suckleya suckleyana,SuSu
Forb,Commelinaceae,Spiderwort,Commelina erecta,CoEr
Forb,Convolvulaceae,Bindweed,Convolvulus arvensis,CoAr
Forb,Convolvulaceae,Hairy evolvulus,Evolvulus nuttallianus,EvNu
Forb,Cucurbitaceae,Buffalo gourd,cucurbita foetidissima,CuFo
Forb,Cyperaceae,Oneflower sedge,Cyperus uniflorus,CyUn
Forb,Euphorbiaceae,Low silverbush,Argythamnia humilis,ArHu
Forb,Euphorbiaceae,Uknown real euphorbia,Chamaesyce lata,ChLa
Forb,Euphorbiaceae,Croton,Croton texensis,CrTe
Forb,Euphorbiaceae,Unknown new Euphorbia,Euphorbia spathulata,EuSp
Forb,Fabaceae,dwarf dalea,Dalea nana,DaNa
Forb,Fabaceae,yellow sweet clover,Melilotus officinalis,MeOf
Shrub/tree,Fabaceae,Catclaw mimosa,Mimosa biuncifera,MiBi
Shrub/tree,Fabaceae,Catclaw mimosa,Mimosa biuncifera,MiAc
Shrub/tree,Fabaceae,Honey mesquite,Prosopis glandulosa,PrGl
Forb,Fabaceae,Scurf Pea,Psoralidium tenuiflorum,PsTe
Forb,Fabaceae,dwarf senna,Senna pumilio,SePu
Forb,Fabaceae,uknown pea family,Sophora nuttalliana,SoNu
Forb,Hydrophyllaceae,Waterleaf,Nama hispidum,NaHi
Forb,Krameriaceae,trailing ratany,Krameria lanceolata,KrLa
Forb,Lamiaceae,Purple Spike fl./Henbit,Lamium amplexicaule,LaAm
Forb,Lamiaceae,Horehound,Marrubium Vulgare,MaVu
Forb,Lamiaceae,Beebalm,Monarda citriodora,MoCi
Forb,Lamiaceae,Rocky mtn Sage,Salvia reflexa,SaRe
Forb,Lamiaceae,Cutleaf germander,Teucrium laciniatum,TeLa
Forb,Liliaceae,plains onion,Allium perdulce,AlPe
Forb,Malvaceae,Cheeseweed,Malva neglecta,MaNe
Forb,Malvaceae,Scurfymallow,Malvella lepidota,MaLe
Forb,Malvaceae,Narrowleaf globemallow,Sphaeralcea angustifolia,SpAn
Forb,Malvaceae,Scarlet globemallow,Sphaeralcea coccinea,SpCo
Forb,Nyctaginaceae,Purple 4-o'clock,Mirabilis linearis,MiLi
Forb,Onagraceae,Scarlet gaura,Gaura coccinea,GaCo
Forb,Onagraceae,Missouri primrose,Oenothera missouriensis,OeMi
Forb,Onagraceae ,Spotted evening primrose,Oenothera canescens,OeCa
Forb,Oxalidaceae,Oxalis species,Oxalis dillenii,OxDi
Forb,Oxalidaceae,Yellow wood-sorrel,Oxalis priceae,OxPr
Forb,Papaveraceae,Hedgehog pricklypoppy,Argemone squarrosa ssp. Glabrata,ArSq gl
Forb,Pedaliaceae,Devil's claw,Proboscidea louisianica,PrLo
Grass,Poaceae,Sixweeks threeawn,Aristida adscenscionis,ArAd
Grass,Poaceae,Red threeawn,Aristida longiseta,ArLo
Grass,Poaceae,Purple threeawn,Aristida purpurea,ArPu
Grass,Poaceae,Cane bluestem,Bothriochloa barbinodis,BoBa
Grass,Poaceae,Yellow bluestem,Bothriochloa ischaemum,BoIs
Grass,Poaceae,Silver bluestem,Bothriochloa saccariodes,BoSa
Grass,Poaceae,Sideoats grama,Bouteloua curtipendula,BoCu
Grass,Poaceae,Buffalo grass,Bouteloua dactyloides,BoDa
Grass,Poaceae,Blue grama,Bouteloua gracilis,BoGr
Grass,Poaceae,Sixweeks grama,Bouteloua trifida,BoTr
Grass,Poaceae,Rescuegrass,Bromus unioloides,BrUn
Grass,Poaceae,Grassbur,Cenchrus incertus,CeIn
Grass,Poaceae,Hooded windmillgrass,Chloris cucullata,ChCu
Grass,Poaceae,Windmillgrass,Chloris verticillata,ChVe
Grass,Poaceae,Bermuda Grass,Cynodon dactylon,CyDa
Grass,Poaceae,Arizona cottontop,Digitaria californica,DiCa
Grass,Poaceae,Barnyard grass,Echinochloa crusgalli,EcCr
Grass,Poaceae,Gummy lovegrass,Eragrostis cuptipedicelata,ErCu
Grass,Poaceae,Weeping lovegrass,Eragrostis curvula,ErCur
Grass,Poaceae,Foxtail barley,Hordeum jubatum,HoJu
Grass,Poaceae,Green Sprangletop,Leptochloa dubia,LeDu
Grass,Poaceae,Fall witchgrass,Leptoloma cognatum,LeCo
Grass,Poaceae,Sand muhly,Muhlenbergia arenicola,MuAr
Grass,Poaceae,Ring muhly,Muhlenbergia torreyi,MuTo
Grass,Poaceae,Mexican Feather Grass,Nassella tenuissima,NaTe
Grass,Poaceae,Vine mesquite,Panicum obtusum,PaOb
Grass,Poaceae,Carolina canarygrass,Phalaris caroliniana,PhCa
Grass,Poaceae,Tumblegrass,Schedonnardus paniculatus,ScPa
Grass,Poaceae,Little bluestem,Schizachyrum scoparium,ScSc
Grass,Poaceae,Prarie Bristlegrass/unkgr,Setaria leucopila,SeLe
Grass,Poaceae,Squirreltail,Sitanion hystrix,SiHy
Grass,Poaceae,Johnson grass,Sorghum halepense,SoHa
Grass,Poaceae,Sand dropseed,Sporobolus cryptandrus,SpCr
Grass,Poaceae,White Tridens,Tridens albescens,TrAl
Forb,Polemoniaceae,Iron ipomopsis,Ipomopsis laxiflora,IpLa
Forb,Polygonaceae,Pink smartweed,Polygonum pensylvanicum,PoPn
Forb,Polygonaceae,Curly dock,Rumex hymenosepalus,RuHy
Forb,Portulacaceaea,Shaggy portulaca,Portulaca mundula,PoMu
Forb,Portulacaceaea,Purslane,Portulaca oleracea,PoOl
Forb,Ranunculaceae,Carolina larkspur,Delphinium carolinianum,DeCa*
Shrub/tree,Rhamnaceae,Lotebush,Ziziphus obtusifolia,ZiOb
Shrub/tree,Simaroubaceae,Tree of Heaven ,Ailanthus altissima,AiAl
Forb,Solanaceae,Hairy false nightshade,Chamaesaracha sordida,ChSo
Forb,Solanaceae,Sand bells,Petunia parviflora,Pepa
Forb,Solanaceae,Purple ground cherry,Quincula lobata,QuLo
Forb,Solanaceae,Silver-leaf nightshade,Solanum elaegnaifolium,SoEl
Forb,Solanaceae,Buffalo burr,Solanum rostratum,SoRo
Shrub/tree,Ulmaceae,Unkown Elm,Ulmus pumila,UlPu
Forb,Verbenaceae,Pink mock vervain,Glandularia pumila,GlPu
Forb,Verbenaceae,Prairie verbena,Verbena bipinnatifida/Glandularia bipinnatifida,VeBi
Forb,Verbenaceae,Prostrate vervain,Verbena bracteata,VeBr
Forb,Verbenaceae,Fanleaf vervain,Verbena plicata,VePl
BARE,bareground,bareground,bareground,BARE
LITT,litter,litter,litter,LITT