Species,Rep,Height,Units,ObservedLocation
Descurainia pinnata,1,117,mm,general_area
Descurainia pinnata,2,130,mm,general_area
Descurainia pinnata,3,151,mm,general_area
Descurainia pinnata,4,126,mm,general_area
Descurainia pinnata,5,129,mm,general_area
Descurainia pinnata,6,151,mm,general_area
Descurainia pinnata,7,133,mm,general_area
Descurainia pinnata,8,156,mm,general_area
Descurainia pinnata,9,129,mm,general_area
Descurainia pinnata,10,143,mm,general_area
Descurainia pinnata,11,108,mm,general_area
Solanum elaegnaifolium,1,422,mm,general_area
Solanum elaegnaifolium,2,415,mm,general_area
Solanum elaegnaifolium,3,478,mm,general_area
Solanum elaegnaifolium,4,361,mm,general_area
Solanum elaegnaifolium,5,432,mm,general_area
Solanum elaegnaifolium,6,365,mm,general_area
Solanum elaegnaifolium,7,394,mm,general_area
Solanum elaegnaifolium,8,397,mm,general_area
Solanum elaegnaifolium,9,384,mm,general_area
Solanum elaegnaifolium,10,373,mm,general_area
Laennecia coulteri,1,525,mm,general_area
Laennecia coulteri,2,706,mm,general_area
Laennecia coulteri,3,502,mm,general_area
Laennecia coulteri,4,469,mm,general_area
Laennecia coulteri,5,741,mm,general_area
Laennecia coulteri,6,821,mm,general_area
Laennecia coulteri,7,472,mm,general_area
Laennecia coulteri,8,708,mm,general_area
Laennecia coulteri,9,376,mm,general_area
Laennecia coulteri,10,475,mm,general_area
Gutierrezia sarothrae,1,392,mm,general_area
Gutierrezia sarothrae,2,310,mm,general_area
Gutierrezia sarothrae,3,310,mm,general_area
Gutierrezia sarothrae,4,304,mm,general_area
Gutierrezia sarothrae,5,328,mm,general_area
Gutierrezia sarothrae,6,275,mm,general_area
Gutierrezia sarothrae,7,215,mm,general_area
Gutierrezia sarothrae,8,281,mm,general_area
Gutierrezia sarothrae,9,250,mm,general_area
Gutierrezia sarothrae,10,299,mm,general_area
Chinopodium incanum,1,1069,mm,general_area
Chinopodium incanum,2,909,mm,general_area
Chinopodium incanum,3,1292,mm,general_area
Chinopodium incanum,4,1301,mm,general_area
Chinopodium incanum,5,1072,mm,general_area
Chinopodium incanum,6,1111,mm,general_area
Chinopodium incanum,7,1020,mm,general_area
Chinopodium incanum,8,980,mm,general_area
Chinopodium incanum,9,899,mm,general_area
Chinopodium incanum,10,911,mm,general_area
Salsola tragus,1,782,mm,general_area
Salsola tragus,2,865,mm,general_area
Salsola tragus,3,795,mm,general_area
Salsola tragus,4,682,mm,general_area
Salsola tragus,5,800,mm,general_area
Salsola tragus,6,774,mm,general_area
Salsola tragus,7,861,mm,general_area
Salsola tragus,8,764,mm,general_area
Salsola tragus,9,695,mm,general_area
Salsola tragus,10,870,mm,general_area