Species,Year,Rep,Height,Units,ObservedLocation
Descurainia pinnata,2020,1,117,mm,general_area
Descurainia pinnata,2020,2,130,mm,general_area
Descurainia pinnata,2020,3,151,mm,general_area
Descurainia pinnata,2020,4,126,mm,general_area
Descurainia pinnata,2020,5,129,mm,general_area
Descurainia pinnata,2020,6,151,mm,general_area
Descurainia pinnata,2020,7,133,mm,general_area
Descurainia pinnata,2020,8,156,mm,general_area
Descurainia pinnata,2020,9,129,mm,general_area
Descurainia pinnata,2020,10,143,mm,general_area
Descurainia pinnata,2020,11,108,mm,general_area
Solanum elaegnaifolium,2020,1,422,mm,general_area
Solanum elaegnaifolium,2020,2,415,mm,general_area
Solanum elaegnaifolium,2020,3,478,mm,general_area
Solanum elaegnaifolium,2020,4,361,mm,general_area
Solanum elaegnaifolium,2020,5,432,mm,general_area
Solanum elaegnaifolium,2020,6,365,mm,general_area
Solanum elaegnaifolium,2020,7,394,mm,general_area
Solanum elaegnaifolium,2020,8,397,mm,general_area
Solanum elaegnaifolium,2020,9,384,mm,general_area
Solanum elaegnaifolium,2020,10,373,mm,general_area
Laennecia coulteri,2020,1,525,mm,general_area
Laennecia coulteri,2020,2,706,mm,general_area
Laennecia coulteri,2020,3,502,mm,general_area
Laennecia coulteri,2020,4,469,mm,general_area
Laennecia coulteri,2020,5,741,mm,general_area
Laennecia coulteri,2020,6,821,mm,general_area
Laennecia coulteri,2020,7,472,mm,general_area
Laennecia coulteri,2020,8,708,mm,general_area
Laennecia coulteri,2020,9,376,mm,general_area
Laennecia coulteri,2020,10,475,mm,general_area
Gutierrezia sarothrae,2020,1,392,mm,general_area
Gutierrezia sarothrae,2020,2,310,mm,general_area
Gutierrezia sarothrae,2020,3,310,mm,general_area
Gutierrezia sarothrae,2020,4,304,mm,general_area
Gutierrezia sarothrae,2020,5,328,mm,general_area
Gutierrezia sarothrae,2020,6,275,mm,general_area
Gutierrezia sarothrae,2020,7,215,mm,general_area
Gutierrezia sarothrae,2020,8,281,mm,general_area
Gutierrezia sarothrae,2020,9,250,mm,general_area
Gutierrezia sarothrae,2020,10,299,mm,general_area
Chinopodium incanum,2020,1,1069,mm,general_area
Chinopodium incanum,2020,2,909,mm,general_area
Chinopodium incanum,2020,3,1292,mm,general_area
Chinopodium incanum,2020,4,1301,mm,general_area
Chinopodium incanum,2020,5,1072,mm,general_area
Chinopodium incanum,2020,6,1111,mm,general_area
Chinopodium incanum,2020,7,1020,mm,general_area
Chinopodium incanum,2020,8,980,mm,general_area
Chinopodium incanum,2020,9,899,mm,general_area
Chinopodium incanum,2020,10,911,mm,general_area
Salsola tragus,2020,1,782,mm,general_area
Salsola tragus,2020,2,865,mm,general_area
Salsola tragus,2020,3,795,mm,general_area
Salsola tragus,2020,4,682,mm,general_area
Salsola tragus,2020,5,800,mm,general_area
Salsola tragus,2020,6,774,mm,general_area
Salsola tragus,2020,7,861,mm,general_area
Salsola tragus,2020,8,764,mm,general_area
Salsola tragus,2020,9,695,mm,general_area
Salsola tragus,2020,10,870,mm,general_area
Bouteloa gracilis,2021,1,220,mm,general_area
Bouteloa gracilis,2021,2,320,mm,general_area
Bouteloa gracilis,2021,3,360,mm,general_area
Bouteloa gracilis,2021,4,220,mm,general_area
Bouteloa gracilis,2021,5,270,mm,general_area
Bouteloa gracilis,2021,6,180,mm,general_area
Bouteloa gracilis,2021,7,590,mm,general_area
Bouteloa gracilis,2021,8,280,mm,general_area
Bouteloa gracilis,2021,9,260,mm,general_area
Bouteloa gracilis,2021,10,440,mm,general_area
Chinopodium incanum,2021,1,1140,mm,general_area
Chinopodium incanum,2021,2,1740,mm,general_area
Chinopodium incanum,2021,3,1310,mm,general_area
Chinopodium incanum,2021,4,1580,mm,general_area
Chinopodium incanum,2021,5,1740,mm,general_area
Chinopodium incanum,2021,6,1370,mm,general_area
Chinopodium incanum,2021,7,1660,mm,general_area
Chinopodium incanum,2021,8,1380,mm,general_area
Chinopodium incanum,2021,9,1480,mm,general_area
Chinopodium incanum,2021,10,1280,mm,general_area
Solanum elaegnaifolium,2021,1,530,mm,general_area
Solanum elaegnaifolium,2021,2,400,mm,general_area
Solanum elaegnaifolium,2021,3,470,mm,general_area
Solanum elaegnaifolium,2021,4,380,mm,general_area
Solanum elaegnaifolium,2021,5,520,mm,general_area
Solanum elaegnaifolium,2021,6,420,mm,general_area
Solanum elaegnaifolium,2021,7,390,mm,general_area
Solanum elaegnaifolium,2021,8,590,mm,general_area
Solanum elaegnaifolium,2021,9,470,mm,general_area
Solanum elaegnaifolium,2021,10,630,mm,general_area
Salsola tragus,2021,1,480,mm,general_area
Salsola tragus,2021,2,620,mm,general_area
Salsola tragus,2021,3,850,mm,general_area
Salsola tragus,2021,4,550,mm,general_area
Salsola tragus,2021,5,920,mm,general_area
Salsola tragus,2021,6,1000,mm,general_area
Salsola tragus,2021,7,620,mm,general_area
Salsola tragus,2021,8,850,mm,general_area
Salsola tragus,2021,9,1060,mm,general_area
Salsola tragus,2021,10,810,mm,general_area