ec5_uuid,created_at,uploaded_at,title,1_What_is_the_date,lat_2_What_is_the_locati,long_2_What_is_the_locati,accuracy_2_What_is_the_locati,UTM_Northing_2_What_is_the_locati,UTM_Easting_2_What_is_the_locati,UTM_Zone_2_What_is_the_locati,3_What_is_the_specie,4_What_is_the_height
7c3fca32-475f-4e51-be10-0de707f8378a,2020-09-27T14:40:34.488Z,2020-09-27T15:09:47.000Z,"DePi 117",27/09/2020,33.600404,-101.897523,8,3721615,231128,14S,DePi,117
030d68b0-c8a5-40d9-8d9c-97229606d424,2020-09-27T14:40:13.307Z,2020-09-27T15:09:45.000Z,"DePi 130",27/09/2020,33.600445,-101.897521,64,3721619,231129,14S,DePi,130
5daeb84f-e5da-442a-a3ac-ae2960392539,2020-09-27T14:39:41.049Z,2020-09-27T15:09:43.000Z,"DePi 151",27/09/2020,33.60037,-101.897496,6,3721611,231131,14S,DePi,151
2e39ba44-6896-4ed6-8030-bcb721425983,2020-09-27T14:39:14.718Z,2020-09-27T15:09:41.000Z,"DePi 126",27/09/2020,33.600366,-101.897495,8,3721610,231131,14S,DePi,126
c1933b9e-ce14-46e8-8130-34d48d685109,2020-09-27T14:38:55.385Z,2020-09-27T15:09:39.000Z,"DePi 129",27/09/2020,33.600263,-101.897533,96,3721599,231127,14S,DePi,129
47b320d3-a736-477d-9dad-c45ba4787112,2020-09-27T14:38:28.024Z,2020-09-27T15:09:37.000Z,"DePi 151",27/09/2020,33.600433,-101.897805,32,3721619,231102,14S,DePi,151
e10d3626-4e09-41ac-8edf-4a9f5e57de6f,2020-09-27T14:37:57.648Z,2020-09-27T15:09:35.000Z,"DePi 133",27/09/2020,33.600324,-101.897365,32,3721605,231143,14S,DePi,133
a9abfa9d-a1f9-4436-bbb5-8a6fe02e40b1,2020-09-27T14:37:30.057Z,2020-09-27T15:09:33.000Z,"DePi 156",27/09/2020,33.600362,-101.897541,8,3721610,231127,14S,DePi,156
fa8308b1-ae54-4786-a52c-c9115979368e,2020-09-27T14:37:06.110Z,2020-09-27T15:09:32.000Z,"DePi 129",27/09/2020,33.600363,-101.897328,32,3721610,231146,14S,DePi,129
787eedfa-d431-42a1-a604-4a0cda44e0e0,2020-09-27T14:36:45.245Z,2020-09-27T15:09:30.000Z,"DePi 143",27/09/2020,33.600365,-101.897466,32,3721610,231134,14S,DePi,143
dee87a7c-9351-46fc-a99d-501272d76423,2020-09-27T14:35:45.482Z,2020-09-27T15:09:28.000Z,"DePi 108",27/09/2020,33.609217,-101.913222,2791,3722633,229699,14S,DePi,108
b188648b-b30e-4c4f-8057-4076e467ae9d,2020-09-19T17:43:59.060Z,2020-09-19T19:31:53.000Z,"SoEl 422",19/09/2020,33.599872,-101.897544,8,3721556,231125,14S,SoEl,422
6d5894c2-4fdf-451f-aa06-90bfaea52b9e,2020-09-19T17:43:41.783Z,2020-09-19T19:31:51.000Z,"SoEl 415",19/09/2020,33.599868,-101.897531,16,3721555,231126,14S,SoEl,415
b23e15e1-1882-45fc-ab33-b328346ec149,2020-09-19T17:43:21.133Z,2020-09-19T19:31:49.000Z,"SoEl 478",19/09/2020,33.599788,-101.897533,8,3721546,231126,14S,SoEl,478
e751dec6-5cf7-49b8-9a64-c09d939ade15,2020-09-19T17:42:33.175Z,2020-09-19T19:31:47.000Z,"SoEl 361",19/09/2020,33.599734,-101.897669,8,3721541,231113,14S,SoEl,361
55b01564-c271-450b-a51a-285b985d0d1c,2020-09-19T17:42:14.947Z,2020-09-19T19:31:45.000Z,"SoEl 432",19/09/2020,33.599724,-101.897671,6,3721540,231113,14S,SoEl,432
454eb176-722b-4fdf-adc3-0551ff6245df,2020-09-19T17:41:53.143Z,2020-09-19T19:31:43.000Z,"SoEl 365",19/09/2020,33.599772,-101.897622,8,3721545,231117,14S,SoEl,365
a5e97a94-9781-4be2-83d0-22d25a5475db,2020-09-19T17:41:34.639Z,2020-09-19T19:31:41.000Z,"SoEl 394",19/09/2020,33.599801,-101.897627,6,3721548,231117,14S,SoEl,394
4e0a4eeb-9330-454d-a342-ba0460cc0040,2020-09-19T17:41:20.192Z,2020-09-19T19:31:39.000Z,"SoEl 397",19/09/2020,33.599795,-101.897606,6,3721547,231119,14S,SoEl,397
e1d409d8-0975-4da4-868c-4c48f285e3d8,2020-09-19T17:41:05.372Z,2020-09-19T19:31:37.000Z,"SoEl 384",19/09/2020,33.599831,-101.897585,6,3721551,231121,14S,SoEl,384
377ea6ea-2e9d-4bd0-ba0e-9e56ef18abae,2020-09-19T17:40:41.757Z,2020-09-19T19:31:35.000Z,"SoEl 373",19/09/2020,33.599833,-101.897617,8,3721552,231118,14S,SoEl,373
726a1c6d-57b2-4167-8ec0-a39ccf8ddf86,2020-09-19T17:40:08.354Z,2020-09-19T19:31:33.000Z,"LaCo 525",19/09/2020,33.599861,-101.897573,6,3721555,231122,14S,LaCo,525
0ed2ebc6-44c0-48c0-bcfd-e5a7abcf65c8,2020-09-19T17:39:43.650Z,2020-09-19T19:31:31.000Z,"LaCo 706",19/09/2020,33.599866,-101.897608,12,3721555,231119,14S,LaCo,706
d9c4320c-966c-41dc-874a-2f5faec39a20,2020-09-19T17:39:18.715Z,2020-09-19T19:31:29.000Z,"LaCo 502",19/09/2020,33.599909,-101.897733,6,3721560,231107,14S,LaCo,502
3d0ecb05-04f7-4094-b2b6-9effb2f10ef3,2020-09-19T17:39:04.866Z,2020-09-19T19:31:27.000Z,"LaCo 469",19/09/2020,33.599909,-101.897685,8,3721560,231112,14S,LaCo,469
4e9e409e-6b6a-4903-ab37-fd3d4fbee570,2020-09-19T17:38:51.084Z,2020-09-19T19:31:26.000Z,"LaCo 741",19/09/2020,33.59995,-101.897613,6,3721565,231119,14S,LaCo,741
353fa5c5-f837-4a3f-b2ce-51ee41caab67,2020-09-19T17:38:35.407Z,2020-09-19T19:31:24.000Z,"LaCo 821",19/09/2020,33.599955,-101.897589,6,3721565,231121,14S,LaCo,821
61547dc5-2fd8-4249-9c4b-34bbfe81fd05,2020-09-19T17:38:20.899Z,2020-09-19T19:31:22.000Z,"LaCo 472",19/09/2020,33.599944,-101.897558,6,3721564,231124,14S,LaCo,472
a47c1c32-8948-4650-afdd-07027751eda6,2020-09-19T17:37:55.738Z,2020-09-19T19:31:20.000Z,"LaCo 708",19/09/2020,33.599892,-101.897508,6,3721558,231128,14S,LaCo,708
91430b40-0dc0-4017-8a35-8873b8bbb818,2020-09-19T17:37:35.668Z,2020-09-19T19:31:18.000Z,"LaCo 376",19/09/2020,,,,,,,LaCo,376
d2a67e64-0228-44a5-ae33-564428a2dc2b,2020-09-19T17:37:00.224Z,2020-09-19T19:31:16.000Z,"LaCo 475",19/09/2020,33.599901,-101.897561,12,3721559,231123,14S,LaCo,475
169bf2c8-fc03-4874-b8f0-fbb009c4f434,2020-09-19T17:36:36.841Z,2020-09-19T19:31:13.000Z,"GuSa 392",19/09/2020,33.599919,-101.897582,12,3721561,231121,14S,GuSa,392
19f3353d-92b0-49b9-bb1b-1059a2055ae6,2020-09-19T17:36:03.880Z,2020-09-19T19:31:12.000Z,"GuSa 310",19/09/2020,33.599923,-101.897488,12,3721561,231130,14S,GuSa,310
d8892e36-2aa3-421b-b482-94892639d172,2020-09-19T17:34:19.518Z,2020-09-19T19:31:10.000Z,"GuSa 310",19/09/2020,33.599981,-101.897534,8,3721568,231126,14S,GuSa,310
a75df6cf-6015-4b89-ace9-6f2c5e9cf607,2020-09-19T17:33:54.483Z,2020-09-19T19:31:08.000Z,"GuSa 304",19/09/2020,33.599856,-101.897514,8,3721554,231127,14S,GuSa,304
0887e63e-782b-48ab-a873-dd5891d75bcc,2020-09-19T17:33:17.899Z,2020-09-19T19:31:06.000Z,"GuSa 328",19/09/2020,33.600004,-101.897514,4,3721570,231128,14S,GuSa,328
337d9d72-0080-41db-9138-4d2f7a8ba412,2020-09-19T17:32:53.051Z,2020-09-19T19:31:04.000Z,"GuSa 275",19/09/2020,33.600002,-101.897544,6,3721570,231125,14S,GuSa,275
8d877819-6eb2-4300-942f-449fd97cefe9,2020-09-19T17:32:37.233Z,2020-09-19T19:31:02.000Z,"GuSa 215",19/09/2020,33.600066,-101.89751,8,3721577,231129,14S,GuSa,215
056bd2c2-dfd3-4c11-9270-bae80958e137,2020-09-19T17:31:59.260Z,2020-09-19T19:31:00.000Z,"GuSa 281",19/09/2020,33.599996,-101.897635,32,3721570,231117,14S,GuSa,281
ee7f27d7-59c0-4fe9-9aba-c4813ed12a83,2020-09-19T17:31:26.890Z,2020-09-19T19:30:58.000Z,"GuSa 250",19/09/2020,33.600064,-101.897537,6,3721577,231126,14S,GuSa,250
d55e2c18-946d-4762-b421-0627976c331c,2020-09-19T17:30:59.856Z,2020-09-19T19:30:56.000Z,"GuSa 299",19/09/2020,33.599984,-101.897537,32,3721568,231126,14S,GuSa,299
66b61244-a9af-4a45-b618-5ebb24ddf367,2020-09-19T17:30:18.085Z,2020-09-19T19:30:54.000Z,"ChIn 1069",19/09/2020,33.600046,-101.897484,8,3721575,231131,14S,ChIn,1069
3c757a25-0530-4520-921f-9d10c815ac74,2020-09-19T17:29:41.681Z,2020-09-19T19:30:52.000Z,"ChIn 909",19/09/2020,33.599975,-101.897511,6,3721567,231128,14S,ChIn,909
e0ded4e5-588b-4e24-97aa-d6b3c9bdad0a,2020-09-19T17:29:14.000Z,2020-09-19T19:30:50.000Z,"ChIn 1292",19/09/2020,33.600047,-101.897497,8,3721575,231130,14S,ChIn,1292
6efba4d8-ee31-4fc2-bd27-55113b9d3e2f,2020-09-19T17:28:40.678Z,2020-09-19T19:30:48.000Z,"ChIn 1301",19/09/2020,33.599951,-101.897599,12,3721565,231120,14S,ChIn,1301
5a45254f-174f-41ba-82ae-ac36deff0437,2020-09-19T17:28:07.630Z,2020-09-19T19:30:46.000Z,"ChIn 1072",19/09/2020,33.600031,-101.897575,12,3721574,231122,14S,ChIn,1072
4553883a-372e-497d-9649-ee721d584cad,2020-09-19T17:27:35.442Z,2020-09-19T19:30:44.000Z,"ChIn 1111",19/09/2020,33.59992,-101.897622,8,3721561,231118,14S,ChIn,1111
fc582bbf-92e8-4ee5-b3fb-1a56d6d085ba,2020-09-19T17:27:02.149Z,2020-09-19T19:30:42.000Z,"ChIn 1020",19/09/2020,33.599956,-101.897549,32,3721565,231125,14S,ChIn,1020
953c7df4-47d6-4b1f-8cc7-7ed5e72f3459,2020-09-19T17:26:25.674Z,2020-09-19T19:30:40.000Z,"ChIn 980",19/09/2020,33.59996,-101.89761,6,3721566,231119,14S,ChIn,980
e3a833e7-e0d9-44cf-88dd-5ab7fd9d3182,2020-09-19T17:26:00.439Z,2020-09-19T19:30:38.000Z,"ChIn 899",19/09/2020,33.599977,-101.897628,12,3721568,231117,14S,ChIn,899
bfdce2a0-b7e5-4c4e-9dfe-a4799646ee4e,2020-09-19T17:25:34.144Z,2020-09-19T19:30:36.000Z,"ChIn 911",19/09/2020,33.599916,-101.897568,32,3721561,231123,14S,ChIn,911
e4f59c05-8f49-4c30-92d5-323ce5265967,2020-09-19T17:25:01.236Z,2020-09-19T19:30:34.000Z,"SaTr 782",19/09/2020,33.599843,-101.897654,32,3721553,231114,14S,SaTr,782
15057503-cb4e-4019-853b-59e11d10dc00,2020-09-19T17:24:27.965Z,2020-09-19T19:30:32.000Z,"SaTr 865",19/09/2020,33.599948,-101.897593,12,3721564,231120,14S,SaTr,865
6aca4ac0-28ce-4d8b-bc07-9a4d6af5ce64,2020-09-19T17:23:48.948Z,2020-09-19T19:30:30.000Z,"SaTr 795",19/09/2020,33.599955,-101.897692,32,3721565,231111,14S,SaTr,795
630bd3cc-c5a2-40da-939b-9704ed1d6321,2020-09-19T17:23:19.492Z,2020-09-19T19:30:29.000Z,"SaTr 682",19/09/2020,33.599912,-101.897705,6,3721561,231110,14S,SaTr,682
659e41bc-dbd2-4faf-bd19-aa9e2fb875ad,2020-09-19T17:22:33.848Z,2020-09-19T19:30:27.000Z,"SaTr 800",19/09/2020,33.599984,-101.897672,12,3721569,231113,14S,SaTr,800
1fad6068-ce2f-4215-bd4b-d1b689397b1a,2020-09-19T17:22:02.411Z,2020-09-19T19:30:25.000Z,"SaTr 774",19/09/2020,33.599833,-101.897682,24,3721552,231112,14S,SaTr,774
f1590dfa-4d4b-4343-bcf6-809a44a34d17,2020-09-19T17:21:31.977Z,2020-09-19T19:30:23.000Z,"SaTr 861",19/09/2020,33.599975,-101.897754,6,3721568,231106,14S,SaTr,861
815568de-4dc3-4d87-a7e0-c4ba4da9a786,2020-09-19T17:21:13.526Z,2020-09-19T19:30:21.000Z,"SaTr 764",19/09/2020,33.599966,-101.897733,24,3721567,231108,14S,SaTr,764
4f786b36-e978-4bad-8a80-cc6706274886,2020-09-19T17:20:24.737Z,2020-09-19T19:30:19.000Z,"SaTr 695",19/09/2020,33.599981,-101.897776,6,3721568,231104,14S,SaTr,695
cf694939-5e52-4670-b554-d506c09a1510,2020-09-19T17:19:48.107Z,2020-09-19T19:30:17.000Z,"SaTr 870",19/09/2020,33.599969,-101.897784,16,3721567,231103,14S,SaTr,870
